date,gdp_current,gdp_real,gdp_growth,deflator_yoy,gdp_gap_hp,ipc_index,inflation,inflation_gap,delta_inflation,cemac_inflation,m2,m2_growth,credit,credit_growth,credit_m2_ratio,avoirs_ext_nets,gov_revenue_hd,gov_spending,fiscal_balance,oil_revenue,oil_revenue_share,fx_reserves,fx_reserves_yoy,fx_reserves_diff,log_fx_reserves,dlog_fx_reserves,reserves_flag,reserves_cemac,log_reserves_cemac,dlog_reserves_cemac,beac_rate,delta_beac,dummy_2016q4,dummy_covid,inflation_std,log_fx_reserves_std,gdp_growth_std,oil_revenue_share_std,fed_rate,ecb_rate,eur_usd,brent,vix,china_growth,brent_yoy,eur_usd_yoy,delta_fed,delta_ecb,balance_courante_pct_pib,delta_balance_courante,ouverture_commerciale,log_exports,balance_courante_pct_pib_annual,ouverture_commerciale_annual,exports_usd,imports_usd
2009-Q1,3212.5321,3617.7201,2.2593,5.4631,1.599,74.7977,3.9342,0.9342,,7.8771,2095.762,9.6769,1275.141,18.0205,60.84,1694.8477,422.2,367.6,54.6,43.2,10.23,6519.36,,,8.7825,,,6.5,1.8718,,4.5,-0.25,0,0,0.608385,0.40579,-0.817433,-1.230341,0.18,0.5,1.3035,44.5221,45.0,7397920000000.0,-54.0324,-13.1405,0.02,-1.5,-2.2272,-0.5979,53.2373,21.0356,-4.021,42.1761,1366625000.6933,1717341472.1849
2009-Q2,3283.6004,3679.1597,1.0502,5.1454,2.2031,75.3258,4.7702,1.7702,0.836,6.1992,2092.265,12.0826,1309.052,16.4544,62.57,1722.535,477.8,476.4,1.4,143.9,30.12,6519.36,,0.0,8.7825,0.0,,6.5,1.8718,0.0,4.5,0.0,0,0,1.041166,0.40579,-1.493668,1.263568,0.21,0.25,1.3619,58.8775,33.0157,8386580000000.0,-51.423,-12.8384,0.03,-0.25,-2.8251,-1.1958,49.5503,21.0356,-4.021,42.1761,1366625000.6933,1717341472.1849
2009-Q3,3285.9377,3679.2191,3.2388,3.8536,1.1065,74.9523,2.4734,-0.5266,-2.2968,3.8711,2106.8463,9.3314,1337.1407,16.1618,63.47,1667.477,455.3,536.7,-81.4,161.5,35.47,6519.36,,0.0,8.7825,0.0,,6.5,1.8718,0.0,4.25,-0.25,0,0,-0.147843,0.40579,-0.269611,1.934378,0.15,0.25,1.4304,68.138,25.4862,8984690000000.0,-40.5868,-4.8303,-0.06,0.0,-3.4231,-1.7938,45.8632,21.0356,-4.021,42.1761,1366625000.6933,1717341472.1849
2009-Q4,3354.622,3708.1322,3.7964,0.1547,0.8143,75.1293,1.2059,-1.7941,-1.2675,2.6886,2169.5507,4.7973,1378.1143,11.4876,63.52,1691.1183,484.3,551.1,-66.8,158.7,32.77,6519.36,,0.0,8.7825,0.0,0.0,6.5,1.8718,0.0,4.25,0.0,0,0,-0.804003,0.40579,0.042248,1.595838,0.12,0.25,1.4762,74.5658,23.0719,10082580000000.0,35.5042,11.8164,-0.03,0.0,-4.021,-2.3917,42.1761,21.0356,-4.021,42.1761,1366625000.6933,1717341472.1849
2010-Q1,3336.7636,3700.3285,2.2834,1.5483,-0.4656,75.3295,0.711,-2.289,-0.4949,0.2233,2293.4257,9.4316,1464.179,14.8249,63.84,1750.2893,460.7,452.0,8.7,71.8,15.58,6507.05,,-12.31,8.7806,-0.0019,0.0,6.5,1.8718,0.0,4.25,0.0,0,0,-1.060203,0.400332,-0.803954,-0.559531,0.16,0.25,1.3821,76.418,20.1497,8750129999999.998,71.6406,6.0299,0.04,0.0,-3.7947,-1.5675,43.4417,21.0786,-3.116,47.2386,1426595463.7969,1677411832.286
2010-Q2,3326.3806,3776.326,2.641,-1.3038,0.5023,75.4082,0.1094,-2.8906,-0.6016,0.2665,2333.006,11.5062,1521.3203,16.2154,65.21,1768.867,430.6,525.4,-94.8,140.1,32.54,6734.48,,227.43,8.815,0.0344,0.0,6.7,1.9021,0.0303,4.25,0.0,0,0,-1.37164,0.499153,-0.603953,1.567,0.18,0.25,1.274,78.4892,26.3914,9934740000000.0,33.3093,-6.4542,0.02,0.0,-3.5685,-0.7434,44.7073,21.0786,-3.116,47.2386,1426595463.7969,1677411832.286
2010-Q3,3390.6102,3799.7692,3.2765,-0.0881,0.0532,76.1119,1.5471,-1.4529,1.4377,1.5797,2425.7773,15.1378,1452.589,8.634,59.88,1749.277,440.7,456.2,-15.5,128.3,29.11,6532.85,,-201.63,8.7846,-0.0304,0.0,6.5,1.8718,-0.0303,4.0,-0.25,0,0,-0.627371,0.411823,-0.248526,1.136929,0.19,0.25,1.2938,76.8234,24.2836,10596370000000.0,12.7468,-9.5498,0.01,0.0,-3.3423,0.0808,45.973,21.0786,-3.116,47.2386,1426595463.7969,1677411832.286
2010-Q4,3556.7997,3833.5068,3.3811,2.5593,-0.134,77.0753,2.5902,-0.4098,1.0431,2.162,2566.7397,18.3074,1546.2167,12.198,60.24,1793.327,529.0,566.7,-37.7,150.3,28.41,6740.57,3.39,207.72,8.8159,0.0313,0.0,6.7,1.9021,0.0303,4.0,0.0,0,0,-0.087378,0.501738,-0.190024,1.049159,0.18,0.25,1.3586,86.54,19.3184,11930680000000.0,16.0586,-7.9664,-0.01,0.0,-3.116,0.9049,47.2386,21.0786,-3.116,47.2386,1426595463.7969,1677411832.286
2011-Q1,3518.4687,3817.399,3.1638,2.2118,-1.6208,77.4979,2.8786,-0.1214,0.2884,1.5486,2575.1193,12.2827,1608.5853,9.8626,62.47,1833.178,567.9,409.4,158.5,132.9,23.4,6829.86,4.96,89.29,8.8291,0.0132,0.0,6.8,1.9169,0.0148,4.0,0.0,0,0,0.061921,0.539658,-0.311557,0.42098,0.14,0.25,1.3699,105.4497,18.6148,10446990000000.0,37.9907,-0.8827,-0.04,0.0,-2.9485,0.8462,48.3094,21.3761,-2.4459,51.522,1921051225.6007,2172848246.375
2011-Q2,3546.2208,3854.2562,2.0637,4.4534,-1.7474,77.5449,2.8335,-0.1665,-0.0451,2.2729,2587.78,10.9204,1752.9133,15.2232,67.74,1762.169,506.5,640.9,-134.4,131.5,25.96,7881.16,17.03,1051.3,8.9722,0.1431,0.0,7.9,2.0669,0.15,4.0,0.0,0,0,0.038574,0.95074,-0.92683,0.741966,0.09,0.5,1.4399,117.0125,17.4824,11889590000000.0,49.081,13.022,-0.05,0.25,-2.781,0.7875,49.3803,21.3761,-2.4459,51.522,1921051225.6007,2172848246.375
